lat,lng,intersection,data
40.78645,-73.95231,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.952551', 'distance': '0.02', 'bearing': '298', 'placename': 'New York', 'street1Bearing': '119', 'street2Bearing': '29', 'adminName2': 'New York', 'postalcode': '10128', 'countryCode': 'US', 'street1': 'E 96th St', 'street2': 'Park Ave', 'adminName1': 'New York', 'lat': '40.786549'}"
40.80202,-73.94969,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.94968', 'distance': '0', 'bearing': '62', 'placename': 'New York', 'street1Bearing': '28', 'street2Bearing': '299', 'adminName2': 'New York', 'postalcode': '10026', 'countryCode': 'US', 'street1': 'Lenox Ave', 'street2': 'W 116th St', 'adminName1': 'New York', 'lat': '40.802024'}"
40.749256,-73.85801,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.858059', 'distance': '0.01', 'bearing': '339', 'placename': 'New York', 'street1Bearing': '158', 'street2Bearing': '68', 'adminName2': 'Queens', 'postalcode': '11368', 'countryCode': 'US', 'street1': '108th St', 'street2': '42nd Ave', 'adminName1': 'New York', 'lat': '40.749353'}"
40.726185,-73.98943,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.989429', 'distance': '0', 'bearing': '14', 'placename': 'New York', 'street1Bearing': '28', 'street2Bearing': '118', 'adminName2': 'New York', 'postalcode': '10003', 'countryCode': 'US', 'street1': '2nd Ave', 'street2': 'E 4th St', 'adminName1': 'New York', 'lat': '40.726188'}"
40.732914,-74.00398,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.003976', 'distance': '0', 'bearing': '71', 'placename': 'New York', 'street1Bearing': '67', 'street2Bearing': '334', 'adminName2': 'New York', 'postalcode': '10014', 'countryCode': 'US', 'street1': 'Grove St', 'street2': 'Bleecker St', 'adminName1': 'New York', 'lat': '40.732915'}"
40.601936,-73.74876,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.748749', 'distance': '0', 'bearing': '96', 'placename': 'New York', 'street1Bearing': '312', 'street2Bearing': '226', 'adminName2': 'Queens', 'postalcode': '11691', 'countryCode': 'US', 'street1': 'Mott Ave', 'street2': 'Gateway Blvd', 'adminName1': 'New York', 'lat': '40.601935'}"
40.701237,-73.79465,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.794639', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '68', 'street2Bearing': '151', 'adminName2': 'Queens', 'postalcode': '11433', 'countryCode': 'US', 'street1': 'Liberty Ave', 'street2': 'Guy R Brewer Blvd', 'adminName1': 'New York', 'lat': '40.701237'}"
40.718327,-73.99013,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.990233', 'distance': '0.02', 'bearing': '201', 'placename': 'New York', 'street1Bearing': '21', 'street2Bearing': '291', 'adminName2': 'New York', 'postalcode': '10002', 'countryCode': 'US', 'street1': 'Orchard St', 'street2': 'Broome St', 'adminName1': 'New York', 'lat': '40.718124'}"
40.737286,-73.85595,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.855939', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '249', 'street2Bearing': '113', 'adminName2': 'Queens', 'postalcode': '11368', 'countryCode': 'US', 'street1': '60th Ave', 'street2': 'Calloway St', 'adminName1': 'New York', 'lat': '40.737286'}"
40.735752,-73.88052,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.880515', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '70', 'street2Bearing': '185', 'adminName2': 'Queens', 'postalcode': '11373', 'countryCode': 'US', 'street1': 'Grand Ave', 'street2': 'Goldsmith St', 'adminName1': 'New York', 'lat': '40.735752'}"
40.733215,-74.00304,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.003032', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '67', 'street2Bearing': '21', 'adminName2': 'New York', 'postalcode': '10014', 'countryCode': 'US', 'street1': 'Grove St', 'street2': '7th Ave S', 'adminName1': 'New York', 'lat': '40.733215'}"
40.664604,-73.97685,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.976846', 'distance': '0', 'bearing': '45', 'placename': 'New York', 'street1Bearing': '212', 'street2Bearing': '122', 'adminName2': 'Kings', 'postalcode': '11215', 'countryCode': 'US', 'street1': 'Prospect Park W', 'street2': '9th St', 'adminName1': 'New York', 'lat': '40.664607'}"
40.852673,-73.919106,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.919096', 'distance': '0', 'bearing': '75', 'placename': 'New York', 'street1Bearing': '65', 'street2Bearing': '31', 'adminName2': 'Bronx', 'postalcode': '10453', 'countryCode': 'US', 'street1': 'Sedgwick Ave', 'street2': 'Undercliff Ave', 'adminName1': 'New York', 'lat': '40.852675'}"
40.6321,-74.03048,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.030473', 'distance': '0', 'bearing': '100', 'placename': 'New York', 'street1Bearing': '107', 'street2Bearing': '197', 'adminName2': 'Kings', 'postalcode': '11209', 'countryCode': 'US', 'street1': 'Bay Ridge Pkwy', 'street2': 'Ridge Blvd', 'adminName1': 'New York', 'lat': '40.632099'}"
40.764896,-73.97256,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.972553', 'distance': '0', 'bearing': '69', 'placename': 'New York', 'street1Bearing': '29', 'street2Bearing': '297', 'adminName2': 'New York', 'postalcode': '10022', 'countryCode': 'US', 'street1': '5th Ave', 'street2': 'Doris C Freedman Pl', 'adminName1': 'New York', 'lat': '40.764898'}"
40.663517,-73.957214,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.95721', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '85', 'street2Bearing': '175', 'adminName2': 'Kings', 'postalcode': '11225', 'countryCode': 'US', 'street1': 'Empire Blvd', 'street2': 'Bedford Ave', 'adminName1': 'New York', 'lat': '40.663517'}"
40.635605,-73.997635,False,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.998265', 'distance': '0.07', 'bearing': '309', 'placename': 'New York', 'street1Bearing': '128', 'street2Bearing': '218', 'adminName2': 'Kings', 'postalcode': '11219', 'countryCode': 'US', 'street1': '52nd St', 'street2': '11th Ave', 'adminName1': 'New York', 'lat': '40.636006'}"
40.609463,-73.97419,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.974184', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '128', 'street2Bearing': '171', 'adminName2': 'Kings', 'postalcode': '11204', 'countryCode': 'US', 'street1': '65th St', 'street2': 'Dahill Rd', 'adminName1': 'New York', 'lat': '40.609463'}"
40.700672,-73.92164,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.921631', 'distance': '0', 'bearing': '66', 'placename': 'New York', 'street1Bearing': '36', 'street2Bearing': '126', 'adminName2': 'Kings', 'postalcode': '11237', 'countryCode': 'US', 'street1': 'Stockholm St', 'street2': 'Knickerbocker Ave', 'adminName1': 'New York', 'lat': '40.700675'}"
40.873795,-73.83582,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.835818', 'distance': '0', 'bearing': '26', 'placename': 'New York', 'street1Bearing': '63', 'street2Bearing': '339', 'adminName2': 'Bronx', 'postalcode': '10469', 'countryCode': 'US', 'street1': 'Hammersley Ave', 'street2': 'Edson Ave', 'adminName1': 'New York', 'lat': '40.873798'}"
40.646786,-74.008575,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.008568', 'distance': '0', 'bearing': '69', 'placename': 'New York', 'street1Bearing': '218', 'street2Bearing': '128', 'adminName2': 'Kings', 'postalcode': '11220', 'countryCode': 'US', 'street1': '5th Ave', 'street2': '47th St', 'adminName1': 'New York', 'lat': '40.646788'}"
40.61834,-74.03018,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.030174', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '123', 'street2Bearing': '197', 'adminName2': 'Kings', 'postalcode': '11209', 'countryCode': 'US', 'street1': '92nd St', 'street2': '4th Ave', 'adminName1': 'New York', 'lat': '40.61834'}"
40.66255,-73.90893,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.90892', 'distance': '0', 'bearing': '62', 'placename': 'New York', 'street1Bearing': '78', 'street2Bearing': '168', 'adminName2': 'Kings', 'postalcode': '11212', 'countryCode': 'US', 'street1': 'Livonia Ave', 'street2': 'Rockaway Ave', 'adminName1': 'New York', 'lat': '40.662554'}"
