,,,,,,,,total,train,val
0.5,0.9,0.9,0.5,0.5,0.4,0.5,0.4,0.8750184471938418,0.9076622685647172,0.7560616223061163
0.5,0.8,0.9,0.7000000000000001,0.5,0.5,0.7000000000000001,0.8,0.8766247346906153,0.9096855432451908,0.7560391388119124
0.6000000000000001,0.6000000000000001,0.9,0.5,0.9,0.4,0.9,0.5,0.8766354585361331,0.909716096967603,0.7559708047070609
0.4,0.8,0.7000000000000001,0.8,0.6000000000000001,0.4,0.4,0.9,0.8763174590135485,0.9093245893379428,0.7559390815268612
0.7000000000000001,0.9,0.8,0.5,0.9,0.5,0.5,0.6000000000000001,0.8805022269344389,0.9145863391973301,0.7559179892040295
0.5,0.7000000000000001,0.9,0.6000000000000001,0.6000000000000001,0.4,0.7000000000000001,0.7000000000000001,0.8762467148832194,0.9092632348444593,0.7558290533825566
0.4,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.7000000000000001,0.4,0.4,0.8,0.875065204872839,0.90779751632904,0.7557555600750058
0.6000000000000001,0.7000000000000001,0.8,0.8,0.5,0.5,0.8,0.6000000000000001,0.877102614517919,0.9103604296640588,0.7557406478785037
0.4,0.8,0.7000000000000001,0.5,0.6000000000000001,0.7000000000000001,0.8,0.7000000000000001,0.8770142200628891,0.9102498694006709,0.7557387606945876
0.4,0.9,0.8,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.8781647110595926,0.9117255055120166,0.7556167319887392
0.6000000000000001,0.9,0.8,0.8,0.5,0.5,0.5,0.6000000000000001,0.8782914134501567,0.9118938948003865,0.7555797770902883
0.4,0.8,0.9,0.4,0.9,0.7000000000000001,0.4,0.4,0.8790553582490265,0.9128677315560308,0.7555227868620331
0.4,0.6000000000000001,0.9,0.4,0.8,0.8,0.8,0.7000000000000001,0.8765366642297578,0.9097062986642056,0.7555136167715452
0.6000000000000001,0.8,0.7000000000000001,0.7000000000000001,0.9,0.8,0.7000000000000001,0.4,0.8804239941855871,0.9145905673495713,0.7555080047349811
0.6000000000000001,0.4,0.7000000000000001,0.4,0.8,0.9,0.8,0.8,0.8744902916250866,0.9072513662499038,0.755458075841868
0.7000000000000001,0.6000000000000001,0.7000000000000001,0.8,0.7000000000000001,0.4,0.4,0.6000000000000001,0.8766893917500154,0.9099146428835657,0.7554476025568618
0.7000000000000001,0.5,0.7000000000000001,0.5,0.7000000000000001,0.4,0.9,0.6000000000000001,0.8750937846911228,0.9079453070221007,0.7553079934629192
0.4,0.9,0.7000000000000001,0.9,0.7000000000000001,0.4,0.4,0.6000000000000001,0.8780862071926343,0.9117055790009384,0.7553020039697977
0.4,0.6000000000000001,0.7000000000000001,0.8,0.9,0.5,0.8,0.7000000000000001,0.8783251169873217,0.9120259571731533,0.7552208673225387
0.6000000000000001,0.8,0.7000000000000001,0.7000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,0.878313111431425,0.912012902077879,0.7552127671057164
0.5,0.9,0.8,0.5,0.9,0.8,0.8,0.5,0.8799250813649098,0.9140388548976934,0.7552081218337238
0.4,0.8,0.9,0.5,0.6000000000000001,0.6000000000000001,0.9,0.6000000000000001,0.8769296555443872,0.9102872333095137,0.7551644199174752
0.7000000000000001,0.9,0.9,0.8,0.4,0.4,0.6000000000000001,0.5,0.8770144549120913,0.9105485964487232,0.75515274827332
0.6000000000000001,0.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.4,0.9,0.6000000000000001,0.8757445093355319,0.9088042989365521,0.7551415203599509
0.5,0.8,0.9,0.9,0.5,0.8,0.7000000000000001,0.7000000000000001,0.8778817531986199,0.9114913307415815,0.7551317403543726
0.6000000000000001,0.7000000000000001,0.8,0.5,0.8,0.9,0.4,0.6000000000000001,0.8768457239152072,0.9102039066436579,0.7550760213220925
0.5,0.8,0.8,0.7000000000000001,0.6000000000000001,0.9,0.4,0.7000000000000001,0.8766940858841558,0.9100432361260362,0.7549568147487586
0.6000000000000001,0.7000000000000001,0.6000000000000001,0.6000000000000001,0.9,0.4,0.5,0.6000000000000001,0.8792949693714878,0.9133282244149827,0.7548847152122512
